team,group,pts,gf,ga,gd,w,d,l,position
South Korea,A,9,12,5,7,3,0,0,1
Czech Republic,A,4,8,6,2,1,1,1,2
South Africa,A,4,6,7,-1,1,1,1,3
Mexico,A,0,1,9,-8,0,0,3,4
Switzerland,B,9,5,1,4,3,0,0,1
Qatar,B,4,4,2,2,1,1,1,2
Canada,B,4,2,2,0,1,1,1,3
Bosnia and Herzegovina,B,0,0,6,-6,0,0,3,4
Morocco,C,9,11,4,7,3,0,0,1
Haiti,C,4,3,4,-1,1,1,1,2
Brazil,C,3,4,7,-3,1,0,2,3
Scotland,C,1,3,6,-3,0,1,2,4
United States,D,6,5,7,-2,2,0,1,1
Turkey,D,4,7,4,3,1,1,1,2
Paraguay,D,4,7,6,1,1,1,1,3
Australia,D,3,6,8,-2,1,0,2,4
Germany,E,7,8,5,3,2,1,0,1
Ecuador,E,5,4,3,1,1,2,0,2
Ivory Coast,E,4,3,2,1,1,1,1,3
Curaçao,E,0,3,8,-5,0,0,3,4
Tunisia,F,9,8,1,7,3,0,0,1
Japan,F,4,3,4,-1,1,1,1,2
Sweden,F,2,0,4,-4,0,2,1,3
Netherlands,F,1,1,3,-2,0,1,2,4
Iran,G,7,6,4,2,2,1,0,1
Egypt,G,6,6,4,2,2,0,1,2
Belgium,G,2,7,9,-2,0,2,1,3
New Zealand,G,1,4,6,-2,0,1,2,4
Spain,H,7,5,2,3,2,1,0,1
Uruguay,H,5,7,6,1,1,2,0,2
Cape Verde,H,3,6,6,0,1,0,2,3
Saudi Arabia,H,1,3,7,-4,0,1,2,4
Senegal,I,7,10,7,3,2,1,0,1
France,I,6,6,5,1,2,0,1,2
Norway,I,4,5,3,2,1,1,1,3
Iraq,I,0,4,10,-6,0,0,3,4
Argentina,J,7,11,6,5,2,1,0,1
Jordan,J,5,6,5,1,1,2,0,2
Algeria,J,3,4,7,-3,1,0,2,3
Austria,J,1,5,8,-3,0,1,2,4
Colombia,K,6,5,2,3,2,0,1,1
DR Congo,K,6,5,3,2,2,0,1,2
Portugal,K,3,3,5,-2,1,0,2,3
Uzbekistan,K,3,2,5,-3,1,0,2,4
Croatia,L,5,8,7,1,1,2,0,1
England,L,5,5,4,1,1,2,0,2
Panama,L,4,5,5,0,1,1,1,3
Ghana,L,1,3,5,-2,0,1,2,4
