team,group,P,W,D,L,GF,GA,GD,Pts,position
Mexico,A,3,3,0,0,5,1,4,9,1
South Africa,A,3,2,0,1,7,4,3,6,2
Czech Republic,A,3,1,0,2,1,4,-3,3,3
South Korea,A,3,0,0,3,2,6,-4,0,4
Canada,B,3,2,1,0,5,1,4,7,1
Bosnia and Herzegovina,B,3,1,2,0,3,2,1,5,2
Qatar,B,3,1,1,1,3,3,0,4,3
Switzerland,B,3,0,0,3,0,5,-5,0,4
Morocco,C,3,2,1,0,7,2,5,7,1
Brazil,C,3,1,1,1,4,5,-1,4,2
Haiti,C,3,1,0,2,3,5,-2,3,3
Scotland,C,3,0,2,1,2,4,-2,2,4
United States,D,3,2,1,0,4,2,2,7,1
Turkey,D,3,1,1,1,3,3,0,4,2
Paraguay,D,3,1,0,2,4,4,0,3,3
Australia,D,3,0,2,1,2,4,-2,2,4
Ecuador,E,3,2,0,1,6,4,2,6,1
Germany,E,3,2,0,1,5,3,2,6,2
Ivory Coast,E,3,1,1,1,2,3,-1,4,3
Curaçao,E,3,0,1,2,2,5,-3,1,4
Netherlands,F,3,2,0,1,5,2,3,6,1
Japan,F,3,2,0,1,4,4,0,6,2
Sweden,F,3,1,0,2,5,5,0,3,3
Tunisia,F,3,1,0,2,2,5,-3,3,4
New Zealand,G,3,2,1,0,4,2,2,7,1
Iran,G,3,2,0,1,5,2,3,6,2
Egypt,G,3,0,2,1,2,4,-2,2,3
Belgium,G,3,0,1,2,3,6,-3,1,4
Spain,H,3,2,1,0,6,2,4,7,1
Uruguay,H,3,0,3,0,4,4,0,3,2
Saudi Arabia,H,3,0,2,1,3,4,-1,2,3
Cape Verde,H,3,0,2,1,3,6,-3,2,4
Iraq,I,3,2,0,1,8,3,5,6,1
Senegal,I,3,1,1,1,4,6,-2,4,2
France,I,3,1,1,1,3,5,-2,4,3
Norway,I,3,1,0,2,4,5,-1,3,4
Austria,J,3,2,0,1,3,5,-2,6,1
Argentina,J,3,1,1,1,6,3,3,4,2
Jordan,J,3,1,1,1,2,2,0,4,3
Algeria,J,3,1,0,2,6,7,-1,3,4
Colombia,K,3,1,2,0,3,1,2,5,1
Portugal,K,3,1,1,1,3,3,0,4,2
Uzbekistan,K,3,1,1,1,3,3,0,4,3
DR Congo,K,3,1,0,2,3,5,-2,3,4
England,L,3,2,0,1,3,3,0,6,1
Panama,L,3,1,1,1,5,4,1,4,2
Ghana,L,3,1,1,1,3,3,0,4,3
Croatia,L,3,1,0,2,4,5,-1,3,4
