team,group,position,Pts,W,D,L,GF,GA,GD
Mexico,A,1,9,3,0,0,5,1,4
South Africa,A,2,6,2,0,1,7,4,3
Canada,B,1,7,2,1,0,5,1,4
Bosnia and Herzegovina,B,2,5,1,2,0,3,2,1
Morocco,C,1,7,2,1,0,7,2,5
Brazil,C,2,4,1,1,1,4,5,-1
United States,D,1,7,2,1,0,4,2,2
Turkey,D,2,4,1,1,1,3,3,0
Ecuador,E,1,6,2,0,1,6,4,2
Germany,E,2,6,2,0,1,5,3,2
Netherlands,F,1,6,2,0,1,5,2,3
Japan,F,2,6,2,0,1,4,4,0
New Zealand,G,1,7,2,1,0,4,2,2
Iran,G,2,6,2,0,1,5,2,3
Spain,H,1,7,2,1,0,6,2,4
Uruguay,H,2,3,0,3,0,4,4,0
Iraq,I,1,6,2,0,1,8,3,5
Senegal,I,2,4,1,1,1,4,6,-2
Austria,J,1,6,2,0,1,3,5,-2
Argentina,J,2,4,1,1,1,6,3,3
Colombia,K,1,5,1,2,0,3,1,2
Portugal,K,2,4,1,1,1,3,3,0
England,L,1,6,2,0,1,3,3,0
Panama,L,2,4,1,1,1,5,4,1
Qatar,B,3,4,1,1,1,3,3,0
Uzbekistan,K,3,4,1,1,1,3,3,0
Ghana,L,3,4,1,1,1,3,3,0
Jordan,J,3,4,1,1,1,2,2,0
Ivory Coast,E,3,4,1,1,1,2,3,-1
France,I,3,4,1,1,1,3,5,-2
Sweden,F,3,3,1,0,2,5,5,0
Paraguay,D,3,3,1,0,2,4,4,0
