team,fifa_rank,confederation,elo,R32,R16,QF,SF,Final,Winner
Spain,2,UEFA,2229.76,0.994,0.774,0.646,0.464,0.358,0.226
Argentina,3,CONMEBOL,2179.65,0.968,0.748,0.472,0.314,0.2,0.124
France,1,UEFA,2124.78,0.946,0.674,0.346,0.196,0.142,0.074
Brazil,6,CONMEBOL,2050.19,0.926,0.58,0.374,0.236,0.12,0.066
England,4,UEFA,2094.72,0.93,0.614,0.378,0.19,0.122,0.062
Colombia,13,CONMEBOL,2064.03,0.89,0.554,0.302,0.174,0.102,0.05
Netherlands,7,UEFA,2019.42,0.896,0.56,0.314,0.146,0.094,0.048
Germany,10,UEFA,1987.74,0.92,0.52,0.256,0.126,0.062,0.032
Ecuador,23,CONMEBOL,2015.36,0.89,0.524,0.296,0.124,0.056,0.03
Mexico,15,CONCACAF,1959.69,0.908,0.57,0.34,0.182,0.052,0.028
Morocco,8,CAF,1972.94,0.852,0.434,0.234,0.138,0.056,0.026
Portugal,5,UEFA,2023.47,0.856,0.472,0.24,0.12,0.068,0.026
Switzerland,19,UEFA,1942.83,0.932,0.564,0.312,0.146,0.058,0.026
Senegal,14,CAF,1926.79,0.714,0.312,0.158,0.068,0.034,0.02
Croatia,11,UEFA,1994.76,0.86,0.418,0.212,0.102,0.048,0.018
Japan,18,AFC,1963.04,0.854,0.452,0.236,0.092,0.044,0.018
Australia,27,AFC,1883.42,0.716,0.366,0.148,0.07,0.026,0.018
Belgium,9,UEFA,1923.02,0.82,0.508,0.16,0.078,0.032,0.014
Paraguay,40,CONMEBOL,1919.33,0.73,0.404,0.212,0.098,0.032,0.012
Uruguay,17,CONMEBOL,1976.01,0.882,0.302,0.206,0.098,0.04,0.012
Turkey,22,UEFA,1936.92,0.742,0.43,0.17,0.098,0.03,0.012
Norway,31,UEFA,1964.61,0.772,0.354,0.172,0.074,0.024,0.01
South Korea,25,AFC,1877.97,0.826,0.436,0.206,0.078,0.032,0.01
Algeria,28,CAF,1850.76,0.59,0.206,0.086,0.036,0.01,0.006
Austria,24,UEFA,1872.87,0.646,0.244,0.106,0.034,0.012,0.006
Iran,21,AFC,1872.96,0.724,0.378,0.086,0.028,0.012,0.006
Canada,30,CONCACAF,1896.29,0.898,0.468,0.222,0.094,0.034,0.004
Uzbekistan,50,AFC,1823.33,0.528,0.232,0.108,0.046,0.014,0.004
Panama,33,CONCACAF,1849.74,0.672,0.278,0.128,0.054,0.01,0.002
Jordan,63,AFC,1780.65,0.432,0.134,0.04,0.01,0.004,0.002
Egypt,29,CAF,1801.42,0.59,0.226,0.066,0.032,0.01,0.002
United States,16,CONCACAF,1832.95,0.542,0.186,0.102,0.052,0.014,0.002
South Africa,60,CAF,1666.81,0.394,0.136,0.048,0.008,0.004,0.002
Sweden,38,UEFA,1754.88,0.482,0.18,0.062,0.022,0.006,0.002
Scotland,43,UEFA,1830.64,0.574,0.2,0.078,0.036,0.012,0.0
New Zealand,85,OFC,1766.96,0.54,0.212,0.03,0.01,0.002,0.0
Tunisia,44,CAF,1734.55,0.438,0.15,0.054,0.016,0.0,0.0
Cape Verde,69,CAF,1657.0,0.298,0.054,0.01,0.002,0.0,0.0
DR Congo,46,CAF,1750.4,0.396,0.134,0.052,0.018,0.002,0.0
Bosnia and Herzegovina,65,UEFA,1632.96,0.466,0.108,0.022,0.002,0.0,0.0
Czech Republic,41,UEFA,1773.84,0.602,0.188,0.062,0.034,0.01,0.0
Curaçao,82,CONCACAF,1621.16,0.276,0.066,0.014,0.002,0.0,0.0
Saudi Arabia,61,AFC,1687.32,0.396,0.108,0.036,0.004,0.0,0.0
Ivory Coast,34,CAF,1784.24,0.584,0.22,0.098,0.032,0.01,0.0
Qatar,55,AFC,1591.44,0.37,0.1,0.032,0.0,0.0,0.0
Ghana,74,CAF,1615.83,0.204,0.04,0.014,0.0,0.0,0.0
Haiti,83,CONCACAF,1692.28,0.294,0.098,0.036,0.012,0.002,0.0
Iraq,57,AFC,1710.78,0.24,0.084,0.018,0.004,0.0,0.0
